city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Amaxac de Guerrero,19.3667,-98.1833,Mexico,MX,Tlaxcala,minor,,
Acapetahua,15.2819,-92.6899,Mexico,MX,Chiapas,minor,,
Vega de Alatorre,20.0282,-96.6475,Mexico,MX,Veracruz,minor,,
Acacoyagua,15.3409,-92.6756,Mexico,MX,Chiapas,minor,,
Sanctórum,19.4933,-98.4716,Mexico,MX,Tlaxcala,minor,,
Tarandacuao,20.0000,-100.5333,Mexico,MX,Guanajuato,minor,,
Pueblo Nuevo,20.5269,-101.3733,Mexico,MX,Guanajuato,minor,,
Tanquián de Escobedo,21.6000,-98.6667,Mexico,MX,San Luis Potosí,minor,,
La Perla,18.9282,-97.1336,Mexico,MX,Veracruz,minor,,
Atoyac,20.0097,-103.5165,Mexico,MX,Jalisco,minor,,
Tizapán el Alto,20.1614,-103.0440,Mexico,MX,Jalisco,minor,,
Pesquería,25.7833,-100.0537,Mexico,MX,Nuevo León,minor,,
Manlio Fabio Altamirano,19.1000,-96.3333,Mexico,MX,Veracruz,minor,,
Benemérito,16.5151,-90.6544,Mexico,MX,Chiapas,minor,,
Teopisca,16.5418,-92.4740,Mexico,MX,Chiapas,minor,,
Jonuta,18.0898,-92.1381,Mexico,MX,Tabasco,minor,,
Copanatoyac,17.4633,-98.7136,Mexico,MX,Guerrero,minor,,
Cuanalá,19.1092,-98.3279,Mexico,MX,Puebla,minor,,
Jitotol,17.0672,-92.8611,Mexico,MX,Chiapas,minor,,
Xochitepec,18.7000,-99.1833,Mexico,MX,Morelos,minor,,
Santa Catarina Ayometla,19.2000,-98.2167,Mexico,MX,Tlaxcala,minor,,
Luis Moya,22.4341,-102.2490,Mexico,MX,Zacatecas,minor,,
Nicolás Ruiz,16.4371,-92.5852,Mexico,MX,Chiapas,minor,,
San Damián Texoloc,19.2833,-98.2833,Mexico,MX,Tlaxcala,minor,,
Villa González Ortega,22.5122,-101.9162,Mexico,MX,Zacatecas,minor,,
Nueva Villa de Padilla,24.0167,-98.7833,Mexico,MX,Tamaulipas,minor,,
Úrsulo Galván,19.4394,-96.3875,Mexico,MX,Veracruz,minor,,
Animas Trujano,16.9909,-96.7132,Mexico,MX,Oaxaca,minor,,
Xaloztoc,19.4078,-98.0460,Mexico,MX,Tlaxcala,minor,,
Temoac,18.7739,-98.7781,Mexico,MX,Morelos,minor,,
Huiramba,19.5460,-101.4380,Mexico,MX,Michoacán de Ocampo,minor,,
Villa Corona,20.4156,-103.6642,Mexico,MX,Jalisco,minor,,
Ixtlán de los Hervores,20.1833,-102.4000,Mexico,MX,Michoacán de Ocampo,minor,,
Panotla,19.3162,-98.2701,Mexico,MX,Tlaxcala,minor,,
